Time,QueueID,Allocation,FairShare
0,test-department,16.000000,16.000000
0,test-queue1,16.000000,6.000000
0,test-queue2,0.000000,5.000000
0,test-queue3,0.000000,5.000000
1,test-department,16.000000,16.000000
1,test-queue1,16.000000,6.000000
1,test-queue2,0.000000,5.000000
1,test-queue3,0.000000,5.000000
2,test-queue1,16.000000,0.000000
2,test-queue2,0.000000,8.000000
2,test-queue3,0.000000,8.000000
2,test-department,16.000000,16.000000
3,test-queue2,0.000000,8.000000
3,test-queue3,0.000000,8.000000
3,test-department,16.000000,16.000000
3,test-queue1,16.000000,0.000000
4,test-queue3,0.000000,8.000000
4,test-department,16.000000,16.000000
4,test-queue1,16.000000,0.000000
4,test-queue2,0.000000,8.000000
5,test-queue2,0.000000,8.000000
5,test-queue3,0.000000,8.000000
5,test-department,16.000000,16.000000
5,test-queue1,16.000000,0.000000
6,test-queue2,0.000000,8.000000
6,test-queue3,0.000000,8.000000
6,test-department,16.000000,16.000000
6,test-queue1,16.000000,0.000000
7,test-department,16.000000,16.000000
7,test-queue1,16.000000,0.000000
7,test-queue2,0.000000,8.000000
7,test-queue3,0.000000,8.000000
8,test-department,16.000000,16.000000
8,test-queue1,16.000000,0.000000
8,test-queue2,0.000000,8.000000
8,test-queue3,0.000000,8.000000
9,test-department,16.000000,16.000000
9,test-queue1,16.000000,0.000000
9,test-queue2,0.000000,8.000000
9,test-queue3,0.000000,8.000000
10,test-queue3,0.000000,8.000000
10,test-department,16.000000,16.000000
10,test-queue1,16.000000,0.000000
10,test-queue2,0.000000,8.000000
11,test-queue1,16.000000,0.000000
11,test-queue2,0.000000,8.000000
11,test-queue3,0.000000,8.000000
11,test-department,16.000000,16.000000
12,test-queue1,16.000000,0.000000
12,test-queue2,0.000000,8.000000
12,test-queue3,0.000000,8.000000
12,test-department,16.000000,16.000000
13,test-queue1,16.000000,0.000000
13,test-queue2,0.000000,8.000000
13,test-queue3,0.000000,8.000000
13,test-department,16.000000,16.000000
14,test-department,16.000000,16.000000
14,test-queue1,16.000000,0.000000
14,test-queue2,0.000000,8.000000
14,test-queue3,0.000000,8.000000
15,test-queue1,16.000000,0.000000
15,test-queue2,0.000000,8.000000
15,test-queue3,0.000000,8.000000
15,test-department,16.000000,16.000000
16,test-department,16.000000,16.000000
16,test-queue1,16.000000,0.000000
16,test-queue2,0.000000,8.000000
16,test-queue3,0.000000,8.000000
17,test-queue1,16.000000,0.000000
17,test-queue2,0.000000,8.000000
17,test-queue3,0.000000,8.000000
17,test-department,16.000000,16.000000
18,test-queue1,16.000000,0.000000
18,test-queue2,0.000000,8.000000
18,test-queue3,0.000000,8.000000
18,test-department,16.000000,16.000000
19,test-department,16.000000,16.000000
19,test-queue1,16.000000,0.000000
19,test-queue2,0.000000,8.000000
